PID,MinPubYear,MaxPubYear,NPubYears
594865,2003,2019,17
558140,1997,2019,23
174209,2003,2017,15
226228,1980,2020,41
53175,1973,2018,46
437666,1995,2020,26
300518,1981,2019,39
68493,1986,2020,35
437423,1988,2020,33
73515,1974,2020,47
52823,1986,2020,35
588430,2001,2020,20
381193,1997,2020,24
345799,1978,2020,43
183327,1986,2020,35
56277,1981,2020,40
57262,2004,2020,17
128807,1972,2019,48
346854,1975,2020,46
195493,2008,2020,13
379583,1967,2020,54
57051,1962,2020,59
69989,1997,2019,23
542281,1986,2020,35
756934,1981,2016,36
398851,2005,2020,16
203574,1972,2020,49
213075,1980,2019,40
552169,1999,2012,14
204067,1981,2020,40
52577,1980,2021,42
56216,1975,2019,45
156883,2000,2020,21
174765,1986,2020,35
677518,1979,2016,38
57311,1984,2020,37
4511,1992,2020,29
628422,1989,2017,29
574062,1966,2020,55
730569,1989,2018,30
583935,1989,2020,32
413124,1984,2020,37
393644,1981,2020,40
214502,1972,2013,42
57356,1987,2020,34
64114,1987,2020,34
348802,1977,2020,44
606404,1980,2003,24
293609,1991,2020,30
56984,1979,2020,42
519478,1988,2014,27
393713,1974,2020,47
456727,2002,2020,19
68422,1989,2020,32
449669,1950,2020,71
191442,1989,2020,32
398814,1978,2012,35
392279,1970,2020,51
68592,1989,2020,32
216677,1982,2019,38
287364,2000,2020,21
227080,1951,2020,70
349124,1980,2020,41
728084,1980,2020,41
41643,1978,2020,43
48077,1995,2019,25
165765,1988,2020,33
431409,1996,2020,25
4477,1965,2020,56
96656,2002,2020,19
496671,1982,2020,39
448222,1994,2020,27
164880,1989,2020,32
525630,1973,2016,44
2631,1996,2020,25
97002,1976,2020,45
665283,1976,2020,45
573759,1974,2020,47
398069,1980,2020,41
49470,1994,2018,25
62521,1973,2020,48
525535,1996,2018,23
629858,1988,2020,33
64680,1986,2020,35
93447,1989,2020,32
167087,1979,2020,42
263798,1990,2020,31
380845,1969,2020,52
195548,1985,2020,36
5645,1994,2019,26
348619,1977,2020,44
234766,1989,2020,32
97549,1977,2020,44
67764,1967,2015,49
93431,1992,2020,29
59121,1984,2020,37
49247,1995,2020,26
169683,1997,2020,24
667322,1952,2020,69
645124,2002,2009,8
66008,1993,2020,28
203701,1970,2014,45
750729,2000,2020,21
351337,1985,2020,36
48144,1984,2020,37
529543,1988,2020,33
84975,1974,2020,47
235477,1966,2020,55
67024,1970,2020,51
57440,1991,2020,30
411529,1992,2020,29
656356,2001,2016,16
533092,1961,2013,53
443944,1987,2020,34
226868,1989,2020,32
190400,1982,2020,39
213468,1964,2020,57
3244,1953,2020,68
226415,1979,2020,42
415172,1977,2020,44
346893,1998,2020,23
656758,1973,2020,48
68387,1980,2020,41
69243,1974,2020,47
176703,1960,2019,60
62505,1973,2020,48
66296,1985,2020,36
264605,1992,2021,30
522608,1971,2017,47
60155,1988,2020,33
301057,1989,2020,32
69369,1990,2020,31
57022,1991,2020,30
178705,1899,2018,120
381297,1983,2020,38
351764,1982,2020,39
460328,1967,2020,54
4735,1997,2020,24
350857,1800,2020,221
165766,1978,2020,43
395946,2000,2020,21
62831,1982,2020,39
345515,1974,2019,46
416119,1980,2018,39
180958,1993,2020,28
518994,1998,2020,23
190824,2000,2020,21
54091,1989,2020,32
214365,1988,2020,33
213479,1988,2020,33
431463,1983,2020,38
588363,1988,2020,33
437577,1991,2020,30
263518,1987,2020,34
380194,1980,2020,41
67046,1983,2020,38
437950,1968,2020,53
37699,1970,2019,50
68095,1987,2020,34
538749,1981,2020,40
235459,1973,2014,42
233704,1983,2020,38
226405,1997,2020,24
350648,1975,2020,46
2102,1989,2015,27
62645,1975,2020,46
97581,1984,2020,37
399345,1960,2020,61
57488,1968,2020,53
57414,1977,2015,39
655338,1991,2020,30
628544,1993,2015,23
59418,1982,2020,39
66210,1984,2020,37
52768,1961,2019,59
263785,1974,2020,47
678273,1988,2020,33
181617,1977,2020,44
63437,1981,2021,41
449484,1987,2014,28
67712,1905,2020,116
213127,1979,2020,42
361,1973,2018,46
62585,1990,2020,31
57155,1980,2020,41
84897,2004,2020,17
66365,1978,2020,43
444200,1970,2019,50
67039,2002,2020,19
174993,1983,2020,38
393073,1998,2020,23
660508,1999,2020,22
286205,1998,2020,23
234618,1995,2020,26
166736,1996,2020,25
351656,1986,2016,31
170999,1976,2020,45
416371,1984,2020,37
417174,1998,2019,22
56336,1987,2020,34
443622,1999,2020,22
106684,1983,2020,38
234506,1989,2019,31
235977,1978,2020,43
351180,1994,2020,27
540164,1999,2020,22
175120,1982,2020,39
124982,1982,2020,39
384208,1973,2002,30
2230,1985,2020,36
754462,1985,2020,36
65270,1969,2019,51
267211,1997,2020,24
251206,1991,2020,30
190780,1986,2020,35
174374,1974,2019,46
66345,1968,2020,53
57190,1981,2020,40
226083,1989,2020,32
529401,1988,2020,33
63919,1991,2020,30
264565,1986,2020,35
49780,1993,2019,27
95006,1997,2020,24
57471,1966,2020,55
392481,1982,2020,39
732415,1965,2020,56
344197,1970,2020,51
351386,1978,2017,40
412915,1969,2017,49
185517,1971,2018,48
449392,1983,2020,38
444212,1998,2020,23
460412,1989,2020,32
101503,1993,2020,28
67446,1978,2020,43
183172,1993,2020,28
272914,1967,2020,54
56706,1970,2019,50
380367,2000,2020,21
761699,1979,2017,39
351607,1997,2011,15
565522,1967,2020,54
398782,1993,2020,28
638695,2008,2014,7
56628,1990,2020,31
65013,1990,2019,30
103037,1978,2020,43
501765,1987,2020,34
249991,1988,2020,33
59880,1971,2017,47
40243,1997,2019,23
397835,1988,2020,33
165339,1905,2020,116
380223,1978,2020,43
516235,1993,2020,28
460365,2002,2020,19
381174,1984,2020,37
477149,2003,2021,19
444155,1980,2015,36
605205,1984,2020,37
393607,1986,2020,35
190028,1995,2020,26
263531,1967,2016,50
497395,1982,2020,39
57532,1988,2020,33
59390,1980,2018,39
351626,1988,2020,33
139889,2007,2017,11
416220,1985,2019,35
193170,1970,2013,44
92542,1966,2017,52
416676,2003,2020,18
431894,1984,2020,37
56428,1991,2020,30
348846,1982,2020,39
63434,1976,2020,45
55106,1987,2020,34
350799,1978,2018,41
167366,2001,2020,20
412644,1999,2020,22
175141,1969,2017,49
254104,1981,2020,40
48828,1999,2020,22
234556,1997,2020,24
61526,1967,2020,54
480567,1980,2018,39
117064,1990,2020,31
50277,1986,2020,35
190015,1992,2020,29
59250,1962,2017,56
68207,1975,2020,46
399638,1975,2015,41
57001,1988,2020,33
66766,1985,2020,36
195506,1971,2020,50
96498,1979,2019,41
314113,1998,2013,16
516445,1985,2020,36
187703,1988,2013,26
4047,1985,2020,36
749804,1998,2019,22
456693,1994,2020,27
60793,1994,2020,27
178189,1982,2020,39
59074,1953,2020,68
608560,1986,2020,35
54312,1998,2020,23
67403,1981,2019,39
66331,1989,2020,32
477108,1985,2020,36
92752,1979,2020,42
53897,1980,2009,30
479059,1994,2021,28
628663,1984,2020,37
59132,1992,2019,28
380321,1997,2020,24
64560,1983,2020,38
92782,1996,2020,25
398847,1998,2019,22
164210,1993,2020,28
399803,1991,2019,29
430430,1983,2020,38
56406,1983,2020,38
236090,1973,2020,48
68623,1994,2019,26
460290,1992,2020,29
761142,1993,2020,28
311978,1997,2019,23
62488,1954,2020,67
169073,1971,2019,49
100505,1999,2020,22
770090,1999,2020,22
493998,1984,2020,37
67173,1995,2020,26
48825,1982,2020,39
57483,1983,2020,38
192036,1921,2019,99
384674,1971,2020,50
190025,2000,2020,21
58844,1984,2020,37
263432,1986,2020,35
234103,1991,2021,31
115284,1968,2020,53
344206,1983,2020,38
286948,1975,2020,46
226112,1967,2020,54
63676,1976,2020,45
249035,1984,2020,37
66758,1985,2020,36
96667,1997,2020,24
432787,1999,2020,22
213931,1989,2020,32
1452,1996,2020,25
578639,1975,2016,42
67680,1996,2013,18
479223,1997,2020,24
195407,1984,2020,37
5089,1995,2020,26
121456,1996,2020,25
227301,1982,2018,37
77685,1971,2020,50
77101,1977,2020,44
448103,1977,2020,44
56226,1967,2017,51
437738,1989,2020,32
53192,1987,2020,34
68075,1993,2020,28
448932,1990,2020,31
456685,1992,2020,29
61626,1974,2020,47
524227,1984,2018,35
588440,1993,2020,28
66103,1985,2020,36
4174,1988,2020,33
196047,1975,2019,45
479724,1981,2020,40
498006,1989,2019,31
53949,1985,2020,36
184262,1994,2020,27
56922,1996,2020,25
399582,1987,2020,34
60012,1969,2020,52
448776,1996,2020,25
351714,1984,2020,37
264058,1981,2020,40
284745,1963,2020,58
351763,1975,2019,45
179325,1980,2015,36
68488,1981,2020,40
4049,1988,2018,31
49087,1979,2020,42
63464,1990,2019,30
449554,1988,2020,33
694530,1996,2020,25
178686,1969,2020,52
213923,1969,2017,49
273941,1995,2021,27
104426,1978,2020,43
350627,1997,2020,24
63077,1994,2020,27
557223,1982,2016,35
56090,1991,2020,30
69085,1967,2009,43
431753,1975,2017,43
115291,1987,2020,34
380268,1965,2019,55
249423,1988,2018,31
33679,1981,2020,40
214341,1994,2020,27
587725,1994,2020,27
3439,1976,2020,45
57310,1977,2020,44
68115,1965,2008,44
5812,1969,2020,52
97362,1977,2020,44
56393,1991,2020,30
93347,1985,2020,36
679856,1976,2020,45
235125,1971,2019,49
456668,1984,2019,36
640994,1986,2019,34
541601,1986,2020,35
179457,1988,2020,33
498220,1982,2020,39
449567,1986,2020,35
65853,1992,2017,26
397800,1998,2020,23
144041,1984,2020,37
438347,1988,2021,34
526279,1995,2020,26
249999,2001,2020,20
180670,1996,2020,25
59204,1986,2020,35
68267,1977,2020,44
394916,1977,2020,44
4332,1984,2020,37
251184,1971,2020,50
437502,2002,2017,16
525530,1970,2020,51
384600,1942,2020,79
184205,1989,2020,32
175259,1984,2020,37
59191,1996,2020,25
59422,1974,2020,47
100187,1981,2020,40
472446,1991,2020,30
395983,1991,2020,30
273964,1986,2020,35
59976,1972,2019,48
61696,1986,2020,35
55681,1971,2020,50
250528,1974,2020,47
384777,1990,2020,31
250027,2001,2020,20
66851,1967,2020,54
53710,1965,2019,55
532742,1995,2020,26
178713,1975,2020,46
198199,1994,2020,27
150786,1970,2020,51
347681,1995,2020,26
378865,1970,2020,51
57560,1979,2020,42
170146,1981,2020,40
14095,1998,2020,23
235909,1983,2017,35
533,1950,2010,61
203613,1982,2020,39
57412,1996,2020,25
129710,1990,2020,31
383619,1976,2020,45
64341,1991,2020,30
226852,1992,2019,28
380332,1993,2020,28
456683,1989,2020,32
438008,1969,2016,48
3319,1980,2020,41
166157,1996,2020,25
93449,1970,2020,51
64707,1997,2020,24
3371,1978,2020,43
186219,1975,2020,46
689091,2000,2020,21
409592,1990,2020,31
479726,1993,2021,29
494010,1970,2020,51
64951,1981,2020,40
56598,1950,2020,71
384776,1981,2010,30
56117,1972,2020,49
167111,1985,2019,35
178225,1995,2020,26
636271,2000,2020,21
480199,1970,2020,51
234060,1966,2019,54
286227,1989,2020,32
5854,1985,2019,35
176755,1992,2020,29
1775,1987,2020,34
595139,1991,2011,21
263960,1976,2020,45
1467,1997,2020,24
459891,1980,2020,41
182569,1995,2020,26
381283,1980,2020,41
170995,1971,2020,50
155906,1990,2020,31
234142,1978,2020,43
648474,1977,2020,44
63187,1991,2020,30
63208,1986,2020,35
226230,1992,2020,29
180950,1973,2020,48
272536,1998,2020,23
649137,1982,2020,39
459973,1987,2020,34
471143,2002,2020,19
68813,2004,2020,17
100110,1992,2018,27
236079,1982,2020,39
117049,1991,2020,30
552591,1987,2020,34
431827,1969,2020,52
62640,1968,2020,53
160731,1961,2017,57
502137,1985,2018,34
459908,1992,2020,29
399691,1989,2020,32
399590,1990,2020,31
8186,1985,2020,36
395031,1967,2019,53
628738,2001,2020,20
431520,1998,2020,23
3232,1964,2020,57
20363,1965,2020,56
381218,1980,2020,41
262385,2010,2016,7
68400,1990,2020,31
4473,2002,2020,19
542046,1984,2020,37
181200,1989,2020,32
477512,1994,2020,27
196063,1976,2019,44
65815,1994,2006,13
9400,1982,2019,38
436845,1990,2020,31
399576,1983,2020,38
195524,1984,2020,37
227370,1978,2020,43
351051,1990,2020,31
226226,1975,2019,45
2193,1982,2020,39
5400,1983,2020,38
234065,1991,2020,30
750900,1987,2020,34
67205,1997,2020,24
184325,1971,2020,50
1635,1965,2020,56
247594,2001,2020,20
60862,1978,2020,43
345533,1984,2020,37
58275,1980,2021,42
58365,1991,2020,30
49822,1993,2019,27
478592,1996,2020,25
608559,1990,2018,29
67838,1979,2020,42
560877,1980,2020,41
92486,1990,2020,31
761957,1986,2020,35
19661,1988,2020,33
61209,1982,2020,39
50321,1965,2005,41
226828,1963,2017,55
175231,1969,2020,52
195133,1993,2020,28
437378,1994,2020,27
94935,1970,2020,51
398232,1999,2019,21
53712,1954,2020,67
5994,2001,2020,20
647274,1981,2019,39
431440,1990,2020,31
87768,1999,2020,22
615626,1995,2020,26
411888,1988,2020,33
64702,2000,2020,21
459894,1990,2020,31
477289,1972,2020,49
60870,1998,2018,21
5935,2004,2009,6
522965,1975,2020,46
178094,1973,2011,39
5405,1991,2020,30
64729,1998,2019,22
287563,1972,2015,44
566331,1987,2020,34
411181,2000,2020,21
169937,1996,2019,24
63222,1977,2020,44
67021,1998,2020,23
177522,1998,2020,23
656847,1995,2020,26
393615,1988,2020,33
212847,1990,2020,31
184601,1899,2020,122
590881,1990,2020,31
286314,1994,2020,27
384939,1994,2020,27
25915,1985,2020,36
53779,1964,2020,57
772455,1987,2020,34
437982,1990,2019,30
57234,1987,2020,34
480575,1982,2020,39
431754,1999,2020,22
63153,1996,2020,25
398849,1998,2020,23
594088,1997,2020,24
103490,1989,2020,32
103295,1996,2019,24
519045,1969,2020,52
213424,1986,2020,35
438147,1972,2020,49
479226,1992,2019,28
68784,1977,2013,37
5426,1990,2020,31
36146,1982,2020,39
195509,1993,2020,28
250559,1995,2017,23
566450,1983,2011,29
479948,2003,2020,18
91149,1997,2020,24
437524,1982,2019,38
63942,1988,2020,33
495833,1980,2020,41
345925,1988,2020,33
477673,1990,2020,31
57925,1982,2019,38
174239,1987,2020,34
345842,1980,2019,40
203637,1981,2020,40
547358,1989,2020,32
190415,1982,2020,39
4455,1992,2019,28
444117,1997,2017,21
397757,1994,2020,27
97138,1990,2020,31
351414,1989,2020,32
251188,1976,1980,5
494006,1985,2020,36
249850,2005,2020,16
184360,1992,2020,29
668414,2008,2015,8
395885,1995,2020,26
58310,1984,2020,37
449370,1985,2020,36
53777,1965,2020,56
95767,1992,2020,29
68429,1990,2020,31
165746,1975,2020,46
57191,1988,2020,33
192141,1975,2020,46
67849,1962,2020,59
557114,1974,2014,41
227279,1973,2020,48
234786,1990,2020,31
57288,1966,2016,51
57512,1984,2020,37
660910,1977,2020,44
183071,1974,2019,46
443580,1992,2018,27
57242,1968,2020,53
273669,1982,2020,39
103149,1998,2020,23
27011,1962,2015,54
532554,1968,2001,34
68710,1986,2019,34
686807,1985,2020,36
195498,1983,2020,38
2450,1987,2020,34
57411,1996,2020,25
