PID,MinPubYear,MaxPubYear,NPubYears
368813,2001,2005,5
199977,2003,2018,16
469505,2003,2020,18
136574,2005,2007,3
150697,2007,2010,4
543405,2003,2007,5
773916,2005,2018,14
403523,2014,2020,7
205056,1997,2021,25
217452,2010,2017,8
554480,2006,2010,5
206233,2001,2004,4
70182,2014,2018,5
134951,2005,2008,4
161452,2012,2017,6
175340,2001,2012,12
677594,2004,2017,14
68415,2006,2020,15
4512,2000,2020,21
630778,1997,2020,24
576995,2011,2019,9
733208,2006,2008,3
585936,2005,2016,12
426422,1999,2014,16
405455,2004,2010,7
225506,2001,2004,4
137228,2004,2020,17
143224,2011,2012,2
370554,1997,2000,4
612270,2006,2008,3
299907,1998,2020,23
136393,2005,2007,3
521782,1999,2000,2
394130,1996,2020,25
457452,2008,2016,9
72070,2006,2020,15
453210,2002,2002,1
191779,2005,2007,3
405318,2006,2010,5
404779,2003,2005,3
149342,1998,2002,5
216691,1999,2020,22
296598,2013,2015,3
467775,2005,2016,12
357423,2003,2008,6
728867,2007,2009,3
129298,1996,2020,25
130386,2013,2016,4
166211,2003,2018,16
435313,2007,2019,13
156862,2003,2007,5
457150,2010,2018,9
499025,2008,2019,12
450712,2010,2020,11
172313,2003,2007,5
526632,2000,2004,5
147153,2011,2015,5
464795,2009,2015,7
158971,1999,2020,22
666050,1999,2019,21
599138,2008,2016,9
403145,2011,2012,2
131005,2006,2020,15
141668,1995,2020,26
528080,2007,2020,14
632816,2001,2020,20
464923,2019,2020,2
151554,2007,2020,14
172467,2000,2008,9
267056,2002,2020,19
471226,1999,2020,22
135789,2002,2002,1
200281,2006,2018,13
12577,2003,2020,18
364848,2005,2020,16
241526,1997,2001,5
152235,2004,2006,3
369755,2005,2017,13
147815,2009,2016,8
93772,2003,2018,16
138958,2002,2007,6
67541,2005,2020,16
170181,2001,2020,20
667534,2005,2015,11
649724,2003,2009,7
145433,2006,2013,8
205621,1998,2020,23
774063,2011,2019,9
378098,2001,2004,4
19317,2000,2019,20
530968,2005,2017,13
150861,2011,2014,4
245391,2006,2013,8
146542,2004,2005,2
66000,1996,2020,25
429185,2009,2014,6
657636,2006,2020,15
534437,2000,2002,3
444468,1998,2017,20
467649,2005,2012,8
190538,2011,2017,7
219423,2005,2006,2
29814,2004,2008,5
231790,2001,2010,10
417671,2007,2015,9
371636,2002,2017,16
659545,1999,2017,19
148921,1999,2017,19
150040,2002,2009,8
176924,2006,2010,5
141621,2007,2020,14
94740,1997,2010,14
271122,2007,2011,5
524122,1999,2002,4
140013,2008,2020,13
305772,2000,2005,6
150209,1996,2020,25
136506,1996,2015,20
178894,2010,2011,2
383003,1996,2003,8
374895,1999,2003,5
461621,2006,2008,3
157028,2007,2020,14
372652,2005,2008,4
166221,2004,2009,6
401848,2000,2004,5
142064,1992,2020,29
361630,2009,2020,12
430262,2009,2019,11
181577,2006,2019,14
521232,2010,2018,9
191532,2005,2013,9
95404,2002,2005,4
224499,2008,2020,13
219489,1999,2020,22
432241,2006,2016,11
599050,1999,2003,5
439271,2009,2016,8
689328,1989,2020,32
468991,2003,2020,18
146572,1999,2020,22
439086,2008,2012,5
128719,2000,2013,14
148333,1998,2000,3
540834,1997,2004,8
668311,2003,2020,18
236849,2008,2013,6
231732,2010,2018,9
374942,2007,2020,14
2101,1997,2019,23
141850,2010,2015,6
152293,2004,2020,17
409755,2003,2020,18
137628,2000,2006,7
137353,1998,2007,10
659027,2003,2015,13
631718,2008,2015,8
139536,1975,2020,46
145744,2008,2011,4
98906,1998,2006,9
267026,2003,2020,18
464455,2011,2015,5
182573,1995,2020,26
142846,2004,2015,12
451448,2003,2007,5
147784,2008,2020,13
217797,2006,2020,15
154788,2003,2019,17
141719,1999,2002,4
136757,2012,2012,1
150827,2006,2020,15
145940,2004,2019,16
447259,2014,2015,2
464118,2011,2014,4
95165,1998,2004,7
175360,2008,2008,1
394567,2009,2017,9
661580,2008,2020,13
291217,2006,2020,15
240980,2005,2020,16
166794,2005,2020,16
372441,2003,2005,3
632815,2007,2009,3
173512,2006,2016,11
429457,2001,2020,20
428848,2003,2007,5
135315,1996,2020,25
446796,2005,2017,13
171572,2005,2007,3
240665,2009,2018,10
248070,1995,2020,26
375496,2003,2007,5
540617,2005,2009,5
175532,2007,2020,14
144057,2000,2019,20
387716,2006,2009,4
51202,1997,2020,24
773703,2007,2012,6
144914,2004,2012,9
271568,2006,2016,11
262777,2005,2020,16
191040,2010,2015,6
174847,2003,2019,17
145905,2009,2013,5
136803,2007,2014,8
230062,2004,2008,5
530389,2000,2020,21
143152,2007,2020,14
270769,1997,2002,6
131168,2010,2019,10
151841,2005,2015,11
137534,1999,2016,18
406292,2000,2020,21
733047,2014,2016,3
351886,2010,2013,4
377909,1997,2001,5
424841,2001,2002,2
186031,1997,2016,20
424066,2010,2020,11
451719,2011,2018,8
446401,2001,2020,20
462154,2005,2017,13
152964,2000,2017,18
147209,2010,2019,10
183769,2001,2020,20
280458,2004,2020,17
136022,2007,2015,9
475004,2005,2020,16
773371,2008,2017,10
374271,2000,2016,17
570450,2000,2003,4
407066,2004,2009,6
638937,2001,2014,14
135936,2002,2015,14
144812,2001,2013,13
159372,2004,2011,8
502914,2005,2006,2
256406,1999,1999,1
139859,2007,2020,14
129080,2009,2020,12
409047,2008,2019,12
165367,2008,2013,6
473912,2007,2013,7
517361,2001,2002,2
461873,2003,2016,14
382902,2002,2012,11
482453,2007,2020,14
446827,2004,2019,16
644473,2010,2013,4
394590,2020,2020,1
190260,1997,1997,1
265717,1999,2006,8
152587,2005,2020,16
499359,2010,2015,6
137725,2000,2020,21
139463,1998,2005,8
374872,2000,2004,5
172146,2010,2017,8
417390,1999,2020,22
194534,2009,2012,4
414141,2010,2020,11
151402,1999,2005,7
419633,2010,2020,11
436402,2010,2013,4
135638,2004,2009,6
355392,2003,2015,13
135172,2003,2017,15
142827,2000,2020,21
133636,2005,2005,1
373583,1994,2020,27
167653,2006,2009,4
429296,2009,2014,6
175559,2010,2019,10
187867,1997,2020,24
153839,2011,2015,5
240781,2010,2011,2
140751,2006,2020,15
484895,2008,2020,13
171867,2009,2013,5
131443,2009,2020,12
190209,2004,2007,4
209741,2006,2010,5
174596,2008,2020,13
139255,2000,2020,21
148606,2008,2019,12
403388,2000,2008,9
136499,2005,2009,5
146270,2012,2016,5
200021,2000,2006,7
96497,2012,2017,6
334504,2006,2010,5
517054,1998,2020,23
690515,2005,2007,3
156628,2004,2015,12
775030,2010,2020,11
458099,2010,2010,1
140336,1995,2020,26
178533,2006,2010,5
138619,2006,2020,15
611616,2003,2012,10
133335,2011,2020,10
147169,2005,2016,12
135695,2005,2009,5
145862,2007,2009,3
143516,2006,2020,15
484189,2003,2011,9
151453,2002,2014,13
61734,1996,2005,10
489145,2007,2011,5
499361,2010,2017,8
630300,2002,2010,9
139019,2008,2020,13
473318,2010,2013,4
143441,2001,2003,3
92783,2003,2015,13
400451,2007,2017,11
164759,2004,2012,9
403188,2006,2017,12
435699,2014,2019,6
135593,2000,2009,10
248768,2000,2019,20
68627,1991,2015,25
462693,2007,2014,8
143021,2007,2018,12
774128,2012,2012,1
323589,2007,2016,10
141542,2007,2019,13
173033,1993,2020,28
152755,2009,2020,12
446793,2001,2016,16
770095,2007,2017,11
494155,2009,2017,9
146795,2007,2015,9
465003,2002,2020,19
137569,2005,2009,5
192162,2002,2020,19
66748,1999,2020,22
385240,2016,2020,5
190249,2002,2017,16
678501,2005,2007,3
265271,2002,2015,14
238865,2000,2020,21
463829,2005,2020,16
353547,2001,2006,6
294594,1995,2020,26
