PID,Year,Dist
464804,2011,0.034487307659360686
464804,2012,0.08181805408053754
464804,2013,0.08796134064186309
464804,2014,0.04304120148858664
774445,1995,0.0847770916096913
774445,1996,0.08314767008256635
774445,1997,0.1048550555786378
774445,1998,0.06887576960146427
774445,1999,0.0
774445,2000,0.026538312700281064
774445,2001,0.07405459553688541
774445,2002,0.09831439239539169
774445,2003,0.0997503573782828
774445,2004,0.12180070328046881
774445,2005,0.11685059463671642
774445,2006,0.12943537179497663
774445,2007,0.1312801455516352
774445,2008,0.14498997139295836
774445,2009,0.13690974587659557
774445,2010,0.07186724612681232
499507,1999,0.0
499507,2000,1.1102230246251565e-16
499507,2001,0.11514106672986547
499507,2002,0.07283729368490896
499507,2003,1.1102230246251565e-16
499507,2004,0.08288978887129873
499507,2005,0.10469111910094697
499507,2006,0.29008678173932234
499507,2007,0.3071878088552267
499507,2008,0.17421238478180218
499507,2009,0.22335740596740006
499507,2010,0.14952197869848594
499507,2011,0.0
499507,2012,
499507,2013,
229450,2007,0.14669857742288114
229450,2008,0.20791563260555534
229450,2009,0.2249874083224611
229450,2010,0.1729230918007605
229450,2011,0.09777393726689877
229450,2012,0.11149091647377464
229450,2013,0.118104072435585
229450,2014,0.1195260353406938
229450,2015,0.13005143161005056
229450,2016,0.15022067350079993
229450,2017,0.13876466045621924
229450,2018,0.1518420568961357
229450,2019,0.14697693260716302
430014,2002,0.010851951846182983
430014,2003,1.1102230246251565e-16
430014,2004,0.09895605864089926
430014,2005,0.10660427280978337
726300,2011,0.0
726300,2012,
726300,2013,
726300,2014,0.0
402058,2006,1.1102230246251565e-16
402058,2007,
402058,2008,
402058,2009,0.20629069713231826
402058,2010,0.26252566006795564
402058,2011,0.2549555377624472
402058,2012,0.18348720188708775
402058,2013,0.25854936138912266
402058,2014,0.27144841352662497
402058,2015,0.2493590741489712
402058,2016,0.1669619484771384
402058,2017,0.24326063817831906
402058,2018,0.24741243330605883
402058,2019,0.21826154184281632
146971,2008,0.10910741064546992
146971,2009,0.11884715715930763
146971,2010,0.12490688646339046
146971,2011,0.1391938984436257
146971,2012,0.13046265468608673
146971,2013,0.11938233875602619
146971,2014,0.12955529297003063
146971,2015,0.10539415489390351
146971,2016,0.17049669347587754
146971,2017,0.16671199164688585
146971,2018,0.15495393421151557
146971,2019,0.15797297106413227
228476,1971,0.0
228476,1972,
228476,1973,
228476,1974,
228476,1975,
228476,1976,
228476,1977,
228476,1978,
228476,1979,
228476,1980,
228476,1981,
228476,1982,
228476,1983,
228476,1984,
228476,1985,
228476,1986,
228476,1987,
228476,1988,
228476,1989,
228476,1990,
228476,1991,
228476,1992,
228476,1993,
228476,1994,
228476,1995,
228476,1996,
228476,1997,
228476,1998,
228476,1999,
228476,2000,
228476,2001,
228476,2002,
228476,2003,0.0
228476,2004,0.10598676363341902
228476,2005,0.15372055490348735
228476,2006,0.09595794840720845
228476,2007,0.11051960633263035
228476,2008,0.17276812401246122
228476,2009,0.19822709664388868
228476,2010,0.10379094922435958
228476,2011,
228476,2012,
228476,2013,
228476,2014,
228476,2015,0.0
133300,2007,0.05894910321793356
133300,2008,0.0
133300,2009,
686743,2007,0.0
686743,2008,
686743,2009,
686743,2010,1.1102230246251565e-16
686743,2011,1.1102230246251565e-16
686743,2012,1.1102230246251565e-16
686743,2013,0.10059041879383762
686743,2014,0.08743113913044348
686743,2015,0.0931954903250326
686743,2016,0.11085360544198404
686743,2017,0.137020287618725
686743,2018,0.1695050823598917
686743,2019,0.17719799460060504
132290,2010,0.14046544891445045
132290,2011,0.11217370483363305
132290,2012,0.1779349709912654
132290,2013,0.0
132290,2014,
132290,2015,
463675,2009,0.21262126237149376
463675,2010,0.17802369543440727
