PID,MinMaxYearSpecter,TwoDecadeSpecter,MinPubYear,MaxPubYear,NPubYears,MinMaxYearSpecterNorm,IsMentee,IsMentor,StopYear,MentorStopYear
464804,0.07781331595756596,,2010,2015,6,0.012968885992927661,True,False,2012.0,
145204,0.18311310605297668,,2002,2002,1,0.18311310605297668,True,False,2002.0,
774445,0.15193066828155455,,1994,2011,18,0.008440592682308587,True,False,2000.0,
499507,0.28641540438517404,,1998,2014,17,0.016847964963833766,True,False,2000.0,
229450,0.16382082238017964,,2006,2020,15,0.010921388158678642,True,False,2014.0,
405085,0.043937238490223934,,2001,2002,2,0.021968619245111967,True,False,2003.0,
430014,0.1333246105651177,,2001,2006,6,0.02222076842751962,True,False,2004.0,
726300,0.1265052220620442,,2010,2015,6,0.021084203677007366,True,False,2014.0,
402058,0.28252320400199793,,2005,2020,16,0.01765770025012487,True,False,2007.0,
146971,0.15603417749835893,,2007,2020,14,0.011145298392739924,True,False,2004.0,
228476,0.18183569602715088,0.0,1970,2016,47,0.0038688445963223593,True,False,2008.0,
133300,0.09993706671456257,,2006,2010,5,0.019987413342912513,True,False,2007.0,
686743,0.25954795250507273,,2006,2020,15,0.017303196833671517,True,False,2014.0,
132290,0.1733818950840815,,2009,2016,8,0.021672736885510187,True,False,2011.0,
463675,0.2770939408235684,,2008,2020,13,0.021314918524889877,True,False,2012.0,
135701,0.19549082570553197,,2009,2020,12,0.016290902142127663,True,False,2012.0,
139374,0.3152120615553933,,2004,2020,17,0.018541885973846664,True,False,2009.0,
228671,0.2634714986723621,0.2746464949108492,1997,2020,24,0.01097797911134842,True,False,2001.0,
255590,0.14775287751992194,,2010,2020,11,0.013432079774538358,True,False,2013.0,
152258,0.10293597659448064,,2003,2003,1,0.10293597659448064,True,False,2003.0,
136772,0.20386259846900887,,2009,2018,10,0.020386259846900887,True,False,2014.0,
374194,0.2903653551731938,,2009,2020,12,0.024197112931099482,True,False,2009.0,
140997,0.13466739603719244,,2010,2012,3,0.04488913201239748,True,False,2012.0,
500187,0.27718650739749184,,2008,2020,13,0.021322039030576296,True,False,2007.0,
153204,0.06581737965811264,,2000,2004,5,0.013163475931622528,True,False,2001.0,
160143,0.19650814401150826,,2005,2013,9,0.021834238223500918,True,False,2011.0,
463348,0.05762715960073475,,2008,2012,5,0.01152543192014695,True,False,2011.0,
148244,0.2980397062296315,,2004,2020,17,0.017531747425272443,True,False,2008.0,
143016,0.3032324923550161,,2010,2020,11,0.02756659021409237,True,False,2011.0,
