,pid
495101,461873
430254,382902
511220,482453
484931,446827
296189,644473
441093,394590
236864,190260
284718,265717
237429,152587
455362,499359
179629,137725
142725,139463
425714,374872
246839,172146
459001,417390
266441,194534
457271,414141
201143,151402
461252,419633
476487,436402
192392,135638
405864,355392
157721,135172
208940,142827
220556,133636
424415,373583
244235,167653
470563,429296
228904,175559
261581,187867
118358,153839
309891,240781
146333,140751
11787,484895
221807,171867
136010,131443
183118,190209
281222,209741
249181,174596
142041,139255
163730,148606
224976,403388
148872,136499
157780,146270
272113,200021
205649,96497
392693,334504
537624,517054
261385,690515
60299,156628
686234,775030
492069,458099
145359,140336
252779,178533
130986,138619
602775,611616
100829,133335
159604,147169
140850,135695
205665,145862
153438,143516
513082,484189
85185,151453
147176,61734
518144,489145
455364,499361
615150,630300
230009,139019
505196,473318
82523,143441
189330,92783
444351,400451
235554,164759
447127,403188
475686,435699
162408,135593
318080,248768
58832,68627
495917,462693
151562,143021
685890,774128
381843,323589
207675,141542
247878,173033
237524,152755
484901,446793
407445,770095
520608,494155
234144,146795
118217,465003
228306,137569
265252,192162
157702,66748
432434,385240
263592,190249
164943,678501
178200,265271
307932,238865
115722,463829
404031,353547
358922,294594
276259,230234
151787,73455
226517,251890
157367,146243
237087,152029
479595,440842
292629,222078
10093,12430
582803,581209
234679,147720
636822,668379
271504,199461
38087,157273
232414,143820
498567,466299
181076,464624
620934,641067
222703,450184
133757,134953
481432,442548
80301,132682
181172,148307
490306,453511
491290,457284
146707,140831
400866,528822
587628,588968
163814,145603
25327,15461
275142,202785
519145,490068
524871,499798
128355,133146
259213,185063
156064,136339
454907,410793
144144,94444
487249,450583
422858,372119
335941,268545
303963,287817
426153,375338
181119,77723
171082,149130
238602,156636
226851,130883
199330,142910
487226,450555
649393,694647
253119,178843
181364,222052
351065,285011
211766,102607
426076,375260
231558,142442
568094,559050
228278,134596
235777,149961
474478,434452
239121,158275
431483,382967
321529,253457
44638,154045
295066,224401
596654,601927
18695,1604
229168,137145
234979,148382
102234,157575
237210,152197
163489,135530
202223,158736
439825,679961
109168,244091
491369,457400
307010,238136
622290,643534
400046,545853
253952,179615
528362,504877
487826,451147
160088,145336
456142,412383
232632,144113
478667,439907
546814,529032
324728,256462
255043,180753
163986,139213
185143,148719
77674,397431
30600,9571
211682,262709
177942,441371
545020,527241
401677,385074
259033,184783
249974,176220
209348,139181
142811,139556
228227,463524
504325,670744
442578,397156
339831,273965
239765,160227
204385,140948
143844,134221
328038,259671
432691,385461
325082,256751
204427,146383
272115,200023
118049,95181
550746,534596
242411,178933
275596,203238
236273,161130
412756,362180
400609,474726
142570,160172
245568,173071
205664,145861
65548,154141
228494,135238
21524,464303
219281,205281
141869,137336
226330,144565
235371,149143
434012,386782
152773,64342
499464,467242
500618,468560
491436,457469
478192,439423
29610,3934
478191,439422
143030,166548
236809,151560
161987,143544
15982,55209
100319,187399
608883,689349
468902,427619
429251,487278
522111,495634
154000,143733
156092,145447
131552,135907
434553,387229
161425,134763
247403,172594
159347,463935
618481,636514
446170,490440
307656,238667
296571,291268
546813,529031
82696,64967
251486,177049
134978,155484
594979,600290
165054,267577
60744,155379
429202,496754
496759,463577
433016,385781
248177,464052
240233,161388
288109,217794
214425,239031
625444,650709
191287,142552
231659,142616
301078,230950
255810,181481
343783,277837
140854,135699
493605,650256
494396,461296
488341,451653
511762,482991
189387,149644
229377,152683
317974,248681
221849,171862
566312,555963
206672,432802
90136,27818
240472,161777
527069,503578
495272,462042
444080,400208
451910,407767
48490,157737
457473,414311
615373,630522
475021,435026
5630,156282
425582,464516
434596,387279
332140,264717
166162,148976
401679,385076
97650,156852
558577,545661
255023,182457
232649,144131
513547,484649
275267,202896
207096,152263
155480,145306
56091,157789
195932,137626
478754,440006
452231,408046
272279,200126
499217,466986
423270,372550
301065,230938
22912,13115
39285,157424
307680,238690
638221,773869
159239,146958
259338,185193
4491,95899
319388,251361
178549,140380
318194,362400
139411,138044
163725,148601
229649,138171
116074,161030
519470,490412
604744,613559
234780,147868
569634,561744
236677,151380
509434,774323
659299,726123
145983,160318
149084,131496
663286,726609
638440,670181
249942,175819
253459,197822
478990,440241
204053,94939
454330,410203
134169,132902
238752,157628
627293,652576
474689,434667
195841,159832
606605,616760
466271,424801
156910,143521
495249,462019
513506,484599
230569,140388
41181,30081
543963,525037
568093,559049
252382,178372
46384,157430
152777,143560
361823,297426
574398,568593
467380,426008
310757,241533
232701,170280
150650,142653
139842,146522
251857,177956
630117,657578
457288,414156
286533,216252
256985,182602
588833,591554
355885,291623
438284,390831
134723,154606
132082,133027
685926,774312
481069,442212
118215,465001
160209,136907
519261,490183
438255,435769
206793,97318
449605,405564
32630,600995
106876,103504
237939,153507
541780,522059
253214,219163
338699,438719
517730,488737
164262,149586
39361,5425
81683,128335
272141,200037
328160,259791
572825,567037
516399,487413
199018,158527
477465,438693
147434,143170
528368,504883
486411,499320
420740,370041
513394,484501
138299,183814
249248,174651
635995,667493
457472,414310
277422,205378
561905,550368
659295,726119
263810,190561
35841,156839
484960,446856
447268,403333
237143,152148
426466,375639
319197,262731
521996,495526
323996,255811
259539,185463
639082,670937
446940,403006
442559,397142
139665,138092
423982,733046
467764,426427
487677,451011
132357,65620
236977,151900
206424,149046
220753,165925
222630,136831
263649,193547
161110,147910
567985,558942
441299,482445
261862,467569
310893,241657
95608,137124
111535,137705
138598,137272
633539,661800
59808,183529
432293,447947
228414,136948
349859,283820
157765,146255
237890,153468
585943,585930
150287,136403
90670,723589
226342,535640
164047,149540
660073,718031
272083,199996
24443,54610
227607,137327
191116,57467
156811,65680
267126,769374
524606,497044
299549,225968
449115,393592
471253,412601
89198,29108
443383,397881
159272,67212
298489,225743
80520,54289
357607,686713
165715,52666
496834,184439
140856,56471
147282,59305
256245,225787
251136,249772
207091,97580
137575,57156
425054,351241
122699,61791
525255,498023
237760,102267
135365,57042
207194,460320
161605,68061
151557,63541
99542,89583
367781,304369
144853,46855
228699,69365
228399,56116
222189,121871
488340,449349
260555,185665
511231,477789
496194,460314
203089,83946
636241,536612
152102,56274
10106,1912
19581,1733
663289,173039
242736,166149
122739,52814
404823,349034
138596,57362
251321,176700
331784,516067
25457,671
254740,180135
307002,233935
465557,415300
440630,393463
185495,80701
237425,99637
256953,181618
296050,214497
231365,62720
252594,178051
62932,13256
165037,63506
416792,345615
215313,107884
625173,648235
108959,67919
241502,164273
464513,412827
48060,8037
622021,642190
423102,366259
496039,460336
512247,477798
281220,204409
446941,393493
557293,542887
240296,159205
263873,190428
295977,214478
235988,69446
330278,250993
140223,52460
147119,56755
206560,578706
458707,743493
461748,411155
250677,175895
176011,57453
251385,176719
517257,478221
237021,344807
157622,66716
126585,62619
248981,437616
480090,438097
293991,223305
428027,351679
242602,351152
505424,380315
477912,437963
234253,67336
319092,628815
172409,56427
256670,181146
637814,587842
110441,56494
471686,577384
523461,717537
178098,57277
527900,502438
522179,574018
165990,68999
512870,477500
317832,236052
465383,415218
266597,193193
280436,204324
477981,437430
456635,399701
620905,771178
435520,384853
236619,91870
246940,165340
171600,69552
638818,582693
484356,443427
165872,69553
431808,380256
159807,67513
58722,30306
296581,413228
520474,519711
218986,65664
163591,62661
261734,286791
350806,273878
40030,5619
498977,227236
164601,68980
153959,64938
486791,449380
631819,655916
457269,399341
582035,578852
434830,384576
601357,605123
252501,187888
328208,250574
232354,64969
441211,508843
292588,213918
151147,63378
324577,249980
362695,460415
420420,349022
318716,757936
234674,670963
316846,235888
139627,52880
685744,752933
6445,3438
211349,100499
508320,551620
247159,180153
228724,80224
495892,460217
157698,57679
555333,538473
229783,58873
132638,55823
227116,50633
520551,490907
319230,251186
231532,62996
426430,351501
251755,234896
565364,552476
531733,508900
508581,57513
23846,2358
136277,56093
110411,37225
133800,55735
506880,379578
414478,345262
202055,51425
203392,49885
267345,437536
69300,2847
485661,444170
169551,97628
186538,68228
301168,226250
333063,263520
511191,459886
189551,287580
64692,14933
296177,460298
218264,396121
157805,384926
490962,456218
206578,97121
101669,5969
246884,162951
156091,66011
668820,738328
272238,195519
253518,179190
48526,8197
195925,57487
501934,345840
231386,62733
231817,66388
303788,147022
463866,416292
148821,62504
409201,348834
158301,345979
253655,187711
254517,263691
163750,56275
483452,444098
500022,286918
213774,399634
441305,477008
81110,214471
280551,204342
153104,63471
220189,61646
133683,56197
361940,287592
150858,63251
216786,690052
159120,67184
340078,271754
142686,59398
172711,91764
318988,263663
437188,384593
141931,59192
601107,606744
472132,429753
355596,286254
305210,233668
496299,460394
140926,57133
233547,192950
486114,443571
201300,539768
138000,57792
166613,69788
153439,64685
199344,155916
338537,264598
447952,396113
400620,345790
246785,138450
240408,188375
155640,67402
143676,57486
599640,588559
266783,416134
439410,384786
549212,529503
598203,594865
569583,558140
249179,174209
301072,226228
126998,53175
477507,437666
364622,300518
163048,68493
479040,437423
61182,73515
186477,52823
595132,588430
216887,381193
161533,345799
257645,183327
157712,56277
187756,57262
225689,128807
419430,346854
272047,195493
501525,379583
135558,57051
236212,69989
556386,542281
262064,756934
447497,398851
277098,203574
287725,213075
175444,552169
278292,204067
125248,52577
136835,56216
240254,156883
246035,174765
642555,677518
162860,57311
24790,4511
595262,628422
580236,574062
586977,730569
585949,583935
467759,413124
449496,393644
296069,214502
229271,57356
142216,64114
421309,348802
429917,606404
231282,293609
150277,56984
541491,519478
299672,393713
491418,456727
162909,68422
486528,449669
265010,191442
449362,398814
318854,392279
163548,68592
138224,216677
360956,287364
499930,227080
261623,349124
518686,728084
99189,41643
116291,48077
242553,165765
244735,431409
35960,4477
491152,96656
524148,496671
487390,448222
233423,164880
544404,525630
54509,2631
146378,97002
634901,665283
593775,573759
239318,398069
119199,49470
148735,62521
545885,525535
233881,629858
153425,64680
234181,93447
247102,167087
334420,263798
503143,380845
238518,195548
13979,5645
415474,348619
310750,234766
207441,97549
160858,67764
203030,93431
154371,59121
118865,49247
245762,169683
401161,667322
624499,645124
233392,66008
277713,203701
685869,750729
429023,351337
75804,48144
548072,529543
137975,84975
119387,235477
233960,67024
148077,57440
470453,411529
630178,656356
401737,533092
482528,443944
499813,226868
263781,190400
289812,213468
29081,3244
116513,226415
459234,415172
422398,346893
629360,656758
162726,68387
235828,69243
251334,176703
146442,62505
204033,66296
338612,264605
543059,522608
144442,60155
367122,301057
165505,69369
128513,57022
253166,178705
431524,381297
425730,351764
494777,460328
19607,4735
423375,350857
242561,165766
445733,395946
37831,62831
412208,345515
471520,416119
238659,180958
539522,518994
264781,190824
162307,54091
295181,214365
289880,213479
127776,431463
593692,588363
272331,437577
333054,263518
261824,380194
110161,67046
477849,437950
185012,37699
170125,68095
555347,538749
636750,235459
305628,233704
301949,226405
